Period Code,Cycle ID,B_2,B_3,B_4,B_5,B_9,B_10,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,Good/Bad,timestamp
1,82,-0.0012,0.0001,100,518.67,14.62,21.61,1.3,47.25,521.95,2388.03,8134.04,8.3986,0.03,Missing,2388,100,38.89,23.2713,0,3/1/2020 6:45
1,83,0.0004,0.0005,100,518.67,14.62,21.61,1.3,47.22,521.93,2388.05,no response,8.4128,0.03,391,2388,Missing,38.8,23.3274,0,3/1/2020 6:50
1,84,0.0005,0.0002,100,518.67,14.62,21.61,1.3,47.38,521.54,2388.06,8131.54,8.4139,0.03,392,2388,100,38.73,23.2653,0,3/1/2020 6:55
1,85,0.0025,0.0003,100,518.67,14.62,21.61,1.3,47.36,522.3,2388.05,8135.31,8.4499,0.03,392,2388,100,39.01,23.284,0,3/1/2020 7:00
1,86,-0.0012,0.0004,100,518.67,14.62,21.61,1.3,47.38,521.82,2388.09,8130.06,8.4173,0.03,394,2388,100,38.94,23.3945,0,3/1/2020 7:05
1,87,0,-0.0004,100,518.67,14.62,21.61,1.3,47.34,521.43,2388.06,8130.41,8.4326,0.03,391,2388,100,38.88,23.3402,start,3/1/2020 7:10
1,88,0.0029,0.0003,100,518.67,14.62,21.61,1.3,47.46,522.2,2388.04,8131.47,8.4586,0.03,392,2388,100,38.9,23.3086,0,3/1/2020 7:15
1,89,0.0008,-0.0001,nan,518.67,14.62,21.61,1.3,47.46,521.55,2388.08,8135.15,8.4489,0.03,392,2388,100,38.95,23.3288,0,3/1/2020 7:21
1,90,0.0017,-0.0001,100,518.67,14.62,21.61,1.3,47.32,521.49,start,8129.72,8.3961,0.03,391,2388,100,38.98,23.4712,0,3/1/2020 7:25
1,91,0.0025,-0.0004,100,518.67,14.62,21.61,1.3,47.32,no connection,2388.1,8134.4,8.3949,0.03,394,2388,100,39.11,23.3842,0,3/1/2020 7:30
1,92,0.001,-0.0002,100,518.67,14.62,21.61,1.3,47.45,521.91,2388.05,8131.39,8.3982,0.03,392,2388,100,no response,23.3522,0,3/1/2020 7:36
1,93,0.0032,0.0002,100,518.67,14.62,21.61,1.3,47.46,521.43,2388.08,8133.15,8.421,0.03,392,2388,100,38.86,23.2477,0,3/1/2020 7:40
1,94,-0.0021,0.0002,100,518.67,14.62,21.61,1.3,47.48,521.61,2388.07,8132.4,8.4524,0.03,393,2388,100,38.85,23.3758,0,3/1/2020 7:45
1,95,0.0019,0.0003,100,518.67,14.62,21.61,1.3,47.38,521.92,2388.02,8131.63,stop,0.03,394,2388,100,38.76,23.3269,0,3/1/2020 7:50
1,96,-0.0034,0.0001,100,518.67,14.62,21.61,1.3,47.39,521.66,2388.06,8130.69,8.4311,0.03,392,2388,100,38.88,23.3255,0,3/1/2020 7:55
1,97,0.0035,-0.0003,100,518.67,14.62,21.61,1.3,47.46,521.67,2388.06,8128.74,8.4105,0.03,392,2388,100,39.01,23.2963,0,3/1/2020 8:00
1,98,0.0006,0.0004,100,518.67,14.62,21.61,1.3,47.37,522.31,2388.06,8127.89,8.4012,0.03,391,2388,100,38.96,23.2554,0,3/1/2020 8:05
1,99,-0.0005,0,100,518.67,14.62,21.61,1.3,47.4,521.42,2388.1,8131.77,8.4481,0.03,393,2388,100,38.82,23.2323,0,3/1/2020 8:10
1,100,-0.0021,-0.0003,100,518.67,14.62,21.61,1.3,47.64,521.55,2388.08,8132.49,8.4241,0.03,392,2388,100,38.93,23.409,0,3/1/2020 8:15
1,101,0.0012,0.0003,100,518.67,14.62,21.61,1.3,47.62,521.89,2388.08,8125.97,8.4353,0.03,391,2388,100,38.75,23.4149,0,3/1/2020 8:20
1,start,0.0017,0.0005,100,518.67,14.62,21.61,1.3,47.49,521.38,2388.05,8130.4,8.4561,0.03,393,2388,100,38.94,23.3653,0,3/1/2020 8:25
1,103,-0.0013,0.0001,100,518.67,14.62,21.61,1.3,47.57,521.41,2388.1,8124.4,8.4263,0.03,392,2388,100,38.69,23.4289,0,3/1/2020 8:30
1,104,-0.0001,0.0001,100,518.67,14.62,21.61,1.3,47.34,522.38,2388.09,8131.89,8.4021,0.03,392,2388,100,38.96,23.3393,0,3/1/2020 8:35
1,105,0.0024,0.0004,100,518.67,14.62,21.61,1.3,47.31,521.81,2388.08,no connection,8.4326,0.03,393,2388,100,38.77,23.3857,0,3/1/2020 8:40
1,106,0,0.0001,100,518.67,14.62,21.61,1.3,47.44,521.51,2388.09,8126.38,8.4664,0.03,392,2388,100,39.08,23.4148,0,3/1/2020 8:45
1,107,-0.0012,-0.0001,100,518.67,14.62,21.61,1.3,47.35,521.75,2388.07,8132.4,8.4241,0.03,396,2388,100,39.01,23.4086,0,3/1/2020 8:50
1,108,0.0008,0.0001,100,518.67,14.62,21.61,1.3,47.61,521.52,2388.03,8131.52,8.4133,0.03,393,2388,100,38.75,23.3032,0,3/1/2020 8:55
1,109,-0.0011,-0.0003,100,518.67,14.62,21.61,1.3,47.58,521.62,2388.11,8130.97,8.3757,0.03,394,2388,100,39.05,23.3561,0,3/1/2020 9:00
1,110,0,0.0004,100,518.67,Missing,21.61,1.3,47.55,522.01,2388.12,8127.16,8.4638,0.03,393,2388,100,39.06,23.2951,0,3/1/2020 9:05
1,111,0.0008,0.0004,100,518.67,14.62,21.61,1.3,47.62,521.53,2388.14,8132.4,8.4447,0.03,392,2388,100,38.92,23.2135,0,3/1/2020 9:10
start,112,0.0005,0.0003,100,518.67,14.62,21.61,1.3,47.22,521.9,2388.08,8131.52,8.4445,0.03,394,2388,100,38.84,23.3207,0,3/1/2020 9:15
1,113,0.0007,0.0001,100,518.67,14.62,21.61,1.3,47.46,521.75,2388.16,8129.32,8.458,0.03,393,2388,100,38.9,23.3101,0,3/1/2020 9:20
1,114,0.0003,0.0004,100,518.67,14.62,21.61,1.3,47.58,521.68,2388.15,Bad,8.429,0.03,394,2388,100,38.89,23.3754,0,3/1/2020 9:25
1,115,-0.0017,0.0005,100,518.67,14.62,21.61,1.3,47.43,521.36,2388.12,8127.6,8.4345,0.03,393,2388,100,38.93,23.3022,0,3/1/2020 9:30
1,116,-0.002,-0.0003,100,518.67,14.62,21.61,1.3,47.43,521.6,2388.05,8134.46,8.4059,0.03,394,2388,100,39.03,23.3512,0,3/1/2020 9:35
1,117,0.0005,0.0004,100,518.67,14.62,21.61,1.3,47.52,521.22,2388.1,8126.12,8.4256,0.03,391,2388,100,38.73,23.1766,0,3/1/2020 9:40
1,118,-0.0006,nan,100,518.67,14.62,21.61,1.3,47.55,521.31,2388.12,8135.21,8.4197,0.03,393,2388,100,38.88,23.2966,0,3/1/2020 9:45
1,119,0.0013,0.0005,100,518.67,14.62,21.61,1.3,47.55,521.46,2388.09,8123.85,8.4194,0.03,394,no response,100,39.01,23.3188,0,3/1/2020 9:50
1,120,-0.0024,0.0005,100,518.67,14.62,21.61,1.3,47.6,521.34,2388.1,8125.57,8.4029,0.03,393,2388,100,38.81,23.3061,0,3/1/2020 9:55
1,121,-0.0033,0.0004,100,518.67,14.62,21.61,1.3,47.44,521.3,2388.04,8133.94,8.4263,0.03,394,2388,100,38.63,23.422,0,3/1/2020 10:00
1,122,0.0026,-0.0001,100,518.67,14.62,21.61,1.3,47.6,520.92,2388.12,8131.81,8.4256,0.03,393,2388,100,38.86,23.2793,0,3/1/2020 10:05
1,123,Bad,-0.0002,100,518.67,14.62,21.61,1.3,47.41,521.6,2388.17,8129.72,8.4396,0.03,392,2388,100,38.9,23.292,0,3/1/2020 10:10
1,124,0.0025,0.0002,100,518.67,14.62,21.61,1.3,47.55,521.4,2388.13,8133.82,8.4416,0.03,393,2388,100,38.8,23.2341,0,3/1/2020 10:15
1,125,-0.0004,0.0005,100,518.67,14.62,21.61,1.3,47.63,521.57,2388.11,8126.33,8.4079,0.03,394,2388,100,38.68,23.3039,0,3/1/2020 10:20
1,126,0.0016,0.0001,100,518.67,14.62,21.61,1.3,47.49,521.35,2388.08,8130.94,8.4378,0.03,392,2388,100,38.85,23.2289,0,3/1/2020 10:25
1,127,-0.001,0.0002,100,518.67,14.62,21.61,1.3,47.63,no connection,2388.1,8133,8.4626,0.03,393,2388,100,38.91,23.2772,0,3/1/2020 10:30
1,128,-0.0006,0.0003,100,518.67,14.62,21.61,1.3,47.62,521.96,2388.16,8132.08,8.4413,0.03,393,2388,100,38.85,23.2641,0,3/1/2020 10:35
1,129,-0.0033,0.0003,100,518.67,14.62,21.61,1.3,47.61,522.02,2388.13,8127.33,8.4681,0.03,393,2388,100,Bad,23.2656,0,3/1/2020 10:40
1,130,-0.0007,0.0002,100,518.67,14.62,21.61,1.3,47.46,521.49,2388.07,8125.29,8.3938,0.03,394,2388,100,38.71,23.3461,0,3/1/2020 10:45
1,131,0.0002,-0.0001,100,No Data,stop,21.61,1.3,47.7,521.45,2388.13,8126.38,8.4328,0.03,391,2388,100,38.73,23.3435,0,3/1/2020 10:50
1,132,0.0032,-0.0001,100,518.67,14.62,21.61,1.3,47.56,521.64,2388.16,8128.92,8.4227,0.03,393,2388,100,38.53,23.3186,0,3/1/2020 10:55
1,133,0.0032,-0.0002,100,518.67,14.62,21.61,1.3,47.57,521.23,2388.09,8130.93,8.4604,0.03,394,2388,100,38.95,23.2521,0,3/1/2020 11:00
1,134,-0.0014,0,100,518.67,14.62,21.61,1.3,47.75,521.52,2388.13,8131.3,8.4293,0.03,393,2388,100,38.68,23.2833,0,3/1/2020 11:05
1,135,-0.0017,0.0001,100,518.67,14.62,21.61,1.3,47.34,520.99,2388.12,8129.34,8.4242,0.03,392,2388,100,38.85,23.2744,0,3/1/2020 11:10
1,136,0.003,-0.0001,100,518.67,14.62,21.61,1.3,47.43,521.54,2388.11,No Data,8.4469,0.03,393,2388,100,38.76,23.1699,0,3/1/2020 11:15
1,137,-0.0011,0,100,518.67,14.62,21.61,1.3,47.89,521.63,2388.12,8128.81,8.449,0.03,394,2388,100,38.87,23.2593,0,3/1/2020 11:20
1,138,-0.0011,0.0001,100,518.67,14.62,21.61,1.3,47.4,521.57,2388.18,8129.67,8.4208,0.03,392,2388,100,39,23.3664,0,3/1/2020 11:25
1,139,-0.0014,0.0005,100,518.67,14.62,21.61,1.3,47.67,521.03,2388.15,8124.97,8.4621,0.03,394,2388,100,38.88,23.3422,0,3/1/2020 11:30
1,140,-0.0006,-0.0001,100,518.67,14.62,21.61,1.3,47.51,521.27,2388.05,8130.27,8.4397,0.03,393,2388,100,38.82,23.3704,0,3/1/2020 11:35
1,141,-0.0023,0.0005,100,518.67,14.62,21.61,1.3,47.49,521.06,2388.16,8120.93,8.4641,0.03,394,2388,100,39.02,23.2382,0,3/1/2020 11:40
1,142,0.0026,0.0002,100,518.67,14.62,21.61,1.3,47.59,520.44,2388.18,8124.87,8.4291,0.03,392,2388,100,38.71,23.2816,0,3/1/2020 11:45
1,143,-0.0005,-0.0003,100,518.67,14.62,21.61,1.3,47.52,520.98,2388.11,8126.81,8.4419,0.03,393,2388,100,38.79,23.2305,0,3/1/2020 11:50
1,144,0.0025,-0.0004,100,518.67,14.62,21.61,1.3,47.57,521.11,2388.17,8125.47,8.4601,0.03,393,2388,100,38.75,Bad,0,3/1/2020 11:55
1,145,-0.0004,-0.0001,100,518.67,14.62,Missing,1.3,Missing,521.13,2388.15,8130.91,8.4644,0.03,395,2388,100,38.67,23.149,0,3/1/2020 12:00
1,146,0.0002,-0.0003,100,518.67,14.62,21.61,1.3,47.63,521.13,2388.12,8129.19,8.4312,0.03,392,2388,100,38.69,23.3233,0,3/1/2020 12:05
1,147,Missing,0.0001,100,518.67,I/O,21.61,1.3,47.8,520.92,2388.12,8126.13,8.4428,0.03,393,2388,100,38.77,23.2684,0,3/1/2020 12:10
1,148,0.001,-0.0004,100,518.67,14.62,21.61,1.3,47.49,521.08,2388.15,8124.48,8.4276,0.03,392,2388,100,38.77,23.2498,0,3/1/2020 12:15
1,149,0.0025,0.0004,100,518.67,14.62,21.61,1.3,47.83,521.13,2388.15,8124.34,8.4731,0.03,394,2388,100,38.77,I/O,0,3/1/2020 12:20
1,150,0.001,-0.0003,100,518.67,14.62,21.61,1.3,47.6,520.5,2388.21,8122.99,8.4726,0.03,394,2388,100,38.68,23.2082,0,3/1/2020 12:25
1,151,-0.0019,-0.0001,100,518.67,14.62,21.61,1.3,47.58,520.94,2388.22,8127.21,8.4612,0.03,394,2388,100,38.56,23.2277,0,3/1/2020 12:30
1,152,0.0009,-0.0001,100,518.67,14.62,21.61,1.3,47.72,520.39,2388.19,8119,8.4572,0.03,395,2388,100,38.77,23.2369,0,3/1/2020 12:35
1,153,0.0011,-0.0004,100,518.67,14.62,21.61,1.3,47.74,520.69,2388.17,8124.14,8.4435,0.03,393,2388,100,38.78,23.1719,0,3/1/2020 12:40
1,154,-0.0012,0,100,518.67,14.62,21.61,1.3,47.73,520.72,2388.18,8129.24,8.4794,0.03,394,2388,100,38.82,23.2366,0,3/1/2020 12:45
1,155,-0.0033,0.0002,100,518.67,14.62,21.61,1.3,47.61,521.23,2388.17,8120.41,8.4729,0.03,394,2388,100,38.68,23.2749,0,3/1/2020 12:50
1,156,-0.002,0.0003,100,518.67,14.62,21.61,1.3,47.58,520.75,2388.16,8128.48,8.4432,0.03,no response,2388,100,38.77,23.2791,0,3/1/2020 12:55
1,157,-0.0018,0.0002,100,518.67,14.62,21.61,1.3,47.72,520.94,2388.17,8125.07,8.4328,0.03,392,2388,100,38.67,23.2354,0,3/1/2020 13:00
